customerID,tenure,MonthlyCharges,Contract,Churn
7590-VHVEG,1,29.85,Month-to-month,No
5575-GNVDE,34,56.95,One year,No
3668-QPYBK,2,53.85,Month-to-month,Yes
7795-CFOCW,45,42.3,One year,No
9237-HQITU,2,70.7,Month-to-month,Yes
9305-CDSKC,8,99.65,Month-to-month,Yes
1452-KIOVK,22,89.1,Month-to-month,No
6713-OKOMC,10,29.75,Month-to-month,No
7892-POOKP,28,104.8,Month-to-month,Yes
6388-TABGU,62,56.15,One year,No
9763-GRSKD,13,49.95,Month-to-month,No
7469-LKBCI,16,18.95,Two year,No
8091-TTVAX,58,100.35,One year,No
0280-XJGEX,49,103.7,Month-to-month,Yes
5129-JLPIS,25,105.5,Month-to-month,No
3655-SNQYZ,69,113.25,Two year,No
8191-XWSZG,52,20.65,One year,No
9959-WOFKT,71,106.7,Two year,No
4190-MFLUW,10,55.2,Month-to-month,Yes
4183-MYFRB,21,90.05,Month-to-month,No
8779-QRDMV,1,39.65,Month-to-month,Yes
1680-VDCWW,12,19.8,One year,No
1066-JKSGK,1,20.15,Month-to-month,Yes
3638-WEABW,58,59.9,Two year,No
6322-HRPFA,49,59.6,Month-to-month,No
6865-JZNKO,30,55.3,Month-to-month,No
6467-CHFZW,47,99.35,Month-to-month,Yes
8665-UTDHZ,1,30.2,Month-to-month,Yes
5248-YGIJN,72,90.25,Two year,No
8773-HHUOZ,17,64.7,Month-to-month,Yes
3841-NFECX,71,96.35,Two year,No
4929-XIHVW,2,95.5,Month-to-month,No
6827-IEAUQ,27,66.15,One year,No
7310-EGVHZ,1,20.2,Month-to-month,No
3413-BMNZE,1,45.25,Month-to-month,No
6234-RAAPL,72,99.9,Two year,No
6047-YHPVI,5,69.7,Month-to-month,Yes
6572-ADKRS,46,74.8,Month-to-month,No
5380-WJKOV,34,106.35,Month-to-month,Yes
8168-UQWWF,11,97.85,Month-to-month,Yes
8865-TNMNX,10,49.55,One year,No
9489-DEDVP,70,69.2,Two year,No
9867-JCZSP,17,20.75,One year,No
4671-VJLCL,63,79.85,Two year,No
4080-IIARD,13,76.2,Month-to-month,No
3714-NTNFO,49,84.5,Month-to-month,No
5948-UJZLF,2,49.25,Month-to-month,No
7760-OYPDY,2,80.65,Month-to-month,Yes
7639-LIAYI,52,79.75,Two year,No
2954-PIBKO,69,64.15,Two year,No
8012-SOUDQ,43,90.25,Month-to-month,No
9420-LOJKX,15,99.1,Month-to-month,Yes
6575-SUVOI,25,69.5,Month-to-month,No
7495-OOKFY,8,80.65,Month-to-month,Yes
4667-QONEA,60,74.85,One year,No
1658-BYGOY,18,95.45,Month-to-month,Yes
8769-KKTPH,63,99.65,One year,No
5067-XJQFU,66,108.45,One year,No
3957-SQXML,34,24.95,Two year,No
5954-BDFSG,72,107.5,Two year,No
0434-CSFON,47,100.5,Month-to-month,No
1215-FIGMP,60,89.9,Month-to-month,No
0526-SXDJP,72,42.1,Two year,No
0557-ASKVU,18,54.4,One year,No
5698-BQJOH,9,94.4,Month-to-month,Yes
5122-CYFXA,3,75.3,Month-to-month,No
8627-ZYGSZ,47,78.9,One year,No
3410-YOQBQ,31,79.2,Two year,No
3170-NMYVV,50,20.15,Two year,No
7410-OIEDU,10,79.85,Month-to-month,No
2273-QCKXA,1,49.05,Month-to-month,No
0731-EBJQB,52,20.4,One year,No
1891-QRQSA,64,111.6,Two year,No
8028-PNXHQ,62,24.25,Two year,No
5630-AHZIL,3,64.5,Month-to-month,No
2673-CXQEU,56,110.5,One year,No
6416-JNVRK,46,55.65,One year,No
5590-ZSKRV,8,54.65,Month-to-month,No
0191-ZHSKZ,30,74.75,Month-to-month,No
3887-PBQAO,45,25.9,One year,No
5919-TMRGD,1,79.35,Month-to-month,Yes
8108-UXRQN,11,50.55,Month-to-month,No
9191-MYQKX,7,75.15,Month-to-month,Yes
9919-YLNNG,42,103.8,Month-to-month,No
0318-ZOPWS,49,20.15,Two year,No
4445-ZJNMU,9,99.3,Month-to-month,No
4808-YNLEU,35,62.15,One year,No
